Crop	Soil	Season	Region	Fertilizer	Pesticide
Cotton	Clay	Spring	Telangana	Rock Phosphate	EcoHume
WaterMelon	Loamy	Summer	Andhra Pradesh	DAP	InsectoShield
Cotton	Clay	Summer	Telangana	Zinc Sulphate	Fungicide Pro
Sesame	Red	Rainy	Maharashtra	DAP	WeedEx
Gongura	Loamy	Winter	Andhra Pradesh	NPK 20-20-20	Dicofol
Hybrid Tomato	Loamy	Spring	Andhra Pradesh	Silicon Fertilizer	Terminator XT
Brinjal	Red	Summer	Gujarat	Humic Acid	Organic Guard
Sunflower	Black	Winter	Andhra Pradesh	Silicon Fertilizer	Mitex
Brinjal	Clay	Summer	Karnataka	Zinc Sulphate	Mitex
Maize	Clay	Winter	Andhra Pradesh	Zinc Sulphate	GreenSpray
Papaya	Clay	Rainy	Gujarat	NPK 20-20-20	Bioneem Spray
Brinjal	Red	Winter	Andhra Pradesh	Humic Acid	Bioneem Spray
Brinjal	Black	Spring	Karnataka	NPK 20-20-20	Mitex
Maize	Red	Spring	Punjab	Calcium Nitrate	Bioneem Spray
Black Gram	Black	Spring	Kerala	Ammonium Sulphate	Fungicide Pro
GroundNut	Loamy	Winter	Kerala	Rock Phosphate	WeedEx
Cluster Beans	Clay	Rainy	Andhra Pradesh	DAP	Dicofol
Brinjal	Red	Rainy	Tamil Nadu	DAP	EcoHume
Sesame	Red	Rainy	Punjab	Silicon Fertilizer	Terminator XT
Cucumber	Clay	Spring	Punjab	Phosphoric Acid	Organic Guard
Chia	Clay	Rainy	Tamil Nadu	NPK 20-20-20	EcoHume
Chia	Black	Spring	Gujarat	Potassium Nitrate	Mitex
Bengal Gram	Clay	Spring	Punjab	Humic Acid	EcoHume
SonaMasoori	Black	Summer	Tamil Nadu	NPK 20-20-20	Bayer Confidor
GroundNut	Sandy	Winter	Gujarat	Liquid Organic Fertilizer	GreenSpray
Papaya	Sandy	Spring	Karnataka	Silicon Fertilizer	CropCare Plus
GroundNut	Black	Rainy	Kerala	Calcium Nitrate	EcoHume
Basmathi Rice	Loamy	Winter	Punjab	Zinc Sulphate	EcoHume
Mango	Sandy	Winter	Telangana	DAP	Terminator XT
Hybrid Tomato	Black	Rainy	Maharashtra	DAP	Dicofol
Maize	Clay	Spring	Gujarat	Potassium Nitrate	InsectoShield
Cluster Beans	Sandy	Summer	Gujarat	Zinc Sulphate	Organic Guard
Wheat	Sandy	Spring	Maharashtra	Rock Phosphate	EcoHume
Hybrid Tomato	Clay	Spring	Telangana	Urea	Bioneem Spray
Cotton	Red	Winter	Tamil Nadu	Calcium Nitrate	InsectoShield
Fennel	Red	Winter	Karnataka	Urea	Mitex
Cotton	Clay	Rainy	Maharashtra	Ammonium Sulphate	WeedEx
Cucumber	Sandy	Spring	Gujarat	Liquid Organic Fertilizer	LeafShield
Sunflower	Black	Winter	Punjab	Phosphoric Acid	Bayer Confidor
Cluster Beans	Sandy	Winter	Maharashtra	NPK 20-20-20	Organic Guard
Sesame	Loamy	Spring	Gujarat	Rock Phosphate	Mitex
Cotton	Red	Summer	Karnataka	Zinc Sulphate	EcoHume
Mango	Black	Rainy	Telangana	Ammonium Sulphate	WeedEx
Wheat	Red	Summer	Maharashtra	Ammonium Sulphate	Bioneem Spray
Sesame	Sandy	Rainy	Punjab	DAP	WeedEx
Mango	Red	Spring	Telangana	NPK 20-20-20	CropCare Plus
Gongura	Clay	Spring	Telangana	Zinc Sulphate	Bioneem Spray
Sunflower	Sandy	Spring	Gujarat	Ammonium Sulphate	Organic Guard
SonaMasoori	Clay	Spring	Gujarat	DAP	CropCare Plus
Onion Seeds	Red	Summer	Kerala	DAP	Fungicide Pro
Chia	Sandy	Summer	Gujarat	NPK 20-20-20	CropCare Plus
Sunflower	Sandy	Spring	Tamil Nadu	Calcium Nitrate	Mitex
GroundNut	Clay	Winter	Punjab	Rock Phosphate	PowerNeem
WaterMelon	Loamy	Winter	Tamil Nadu	NPK 20-20-20	Organic Guard
Cluster Beans	Black	Winter	Maharashtra	Ammonium Sulphate	Bioneem Spray
Fennel	Sandy	Summer	Karnataka	DAP	SafeGuard
Mango	Loamy	Rainy	Punjab	Potassium Nitrate	Fungicide Pro
Mango	Clay	Summer	Telangana	Rock Phosphate	Mitex
SonaMasoori	Red	Spring	Kerala	Zinc Sulphate	Bayer Confidor
Hybrid Tomato	Clay	Rainy	Telangana	NPK 20-20-20	GreenSpray
GroundNut	Sandy	Winter	Maharashtra	Urea	InsectoShield
SonaMasoori	Black	Rainy	Andhra Pradesh	Silicon Fertilizer	CropCare Plus
Chilli	Loamy	Winter	Tamil Nadu	Liquid Organic Fertilizer	Fungicide Pro
